,parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period,strctid,x,y,value_matc,geometry
384,,,,RC,,1962,6,,,,,,,,,,182590,,,,,Pre - Code,,,,RC,,,11a67929-9a60-4a13-b407-42b1d0dc4784,5288,1,900,182590.0,0.0,0.482174,0.75,11a67929-9a60-4a13-b407-42b1d0dc4784,,,1,POINT (-123.9422607643236 45.97496259740074)
385,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,b3f46a05-dbf3-4367-b20c-bec3c97472df,5287,1,900,149780.0,0.0,0.482174,0.75,b3f46a05-dbf3-4367-b20c-bec3c97472df,,,1,POINT (-123.9423374343593 45.97496054519446)
386,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,59221b47-921e-44c0-a155-ac5b06589a10,5286,1,900,149780.0,0.0,0.482174,0.75,59221b47-921e-44c0-a155-ac5b06589a10,,,1,POINT (-123.9423608153241 45.97496120931868)
387,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,7d280ec8-7fda-45cf-9c2e-e67923993dd2,5285,1,900,149780.0,0.0,0.482174,0.75,7d280ec8-7fda-45cf-9c2e-e67923993dd2,,,1,POINT (-123.9423906292074 45.97496358726147)
388,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,27ef3227-db50-45e0-a04d-eb0c41a63446,5284,1,900,149780.0,0.0,0.482174,0.75,27ef3227-db50-45e0-a04d-eb0c41a63446,,,1,POINT (-123.9424138787077 45.97496467196873)
389,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,6d8bba6c-b337-4f46-a990-6101ce460892,5283,1,900,149780.0,0.0,0.614209,0.75,6d8bba6c-b337-4f46-a990-6101ce460892,,,1,POINT (-123.9424491860338 45.97496605126761)
390,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,63cffbb0-6af1-495f-a051-2692fb413caf,5282,1,900,149780.0,0.0,0.614209,0.75,63cffbb0-6af1-495f-a051-2692fb413caf,,,1,POINT (-123.9424662848756 45.97496716220837)
391,,,,RC,,1962,6,,,,,,,,,,182590,,,,,Pre - Code,,,,RC,,,0462109e-798f-4bb4-bd6b-f1425f92bf6a,5281,1,900,182590.0,0.0,0.482174,0.75,0462109e-798f-4bb4-bd6b-f1425f92bf6a,,,1,POINT (-123.9422599713597 45.97497433581141)
392,,,,W2,,1942,2,,,,,,,,,,351457,,,,,Pre - Code,,,,W2,,,2fd7bb9f-5b8e-4288-be7b-801eb90a6e93,5280,1,146,109891.0,241566.0,-2.153582,0.4,41007026328001001S,-123.941345215,45.9746208191,0,POINT (-123.9413426948722 45.97462039999239)
393,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,3443e8dc-9470-49f2-b06c-7bf1283bee1c,5279,1,900,149780.0,0.0,0.614209,0.75,3443e8dc-9470-49f2-b06c-7bf1283bee1c,,,1,POINT (-123.9424997592125 45.97497021529693)
394,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,beaee536-b0a1-46da-b7be-37c8377379d3,5278,1,900,149780.0,0.0,0.614209,0.75,beaee536-b0a1-46da-b7be-37c8377379d3,,,1,POINT (-123.942517630772 45.97497130329616)
395,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,815f7397-95ad-497c-bbaf-811017e44af7,5277,1,900,149780.0,0.0,0.614209,0.75,815f7397-95ad-497c-bbaf-811017e44af7,,,1,POINT (-123.942554902875 45.97497316390076)
396,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,b19c0889-fce2-4a42-8cb1-5fc5cb4e4be5,5276,1,900,149780.0,0.0,0.614209,0.75,b19c0889-fce2-4a42-8cb1-5fc5cb4e4be5,,,1,POINT (-123.9425743528237 45.97497474469623)
397,,,,RC,,1962,6,,,,,,,,,,182590,,,,,Pre - Code,,,,RC,,,95f10455-353c-47bf-8b1e-2b6f814957fc,5275,1,900,182590.0,0.0,0.482174,0.75,41007026323001001S,-123.942237854,45.9749526978,1,POINT (-123.9422414420368 45.97495177287416)
398,,,,RC,,1962,6,,,,,,,,,,131949,,,,,Pre - Code,,,,RC,,,f6eefedf-866a-4d9c-9e22-2771007eed8c,5274,1,900,131949.0,0.0,0.482174,0.75,41007026322001001S,-123.942298889,45.9749526978,1,POINT (-123.9422976736314 45.97495427872133)
399,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,928a9196-0e51-43ac-8692-2899630aaec4,5273,1,900,149780.0,0.0,0.482174,0.75,41007026321001001S,-123.942344666,45.9749565125,1,POINT (-123.9423480416366 45.97495830239293)
400,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,ed2fb94f-d514-4880-a9b7-413ccf061da2,5272,1,900,149780.0,0.0,0.482174,0.75,41007026320001001S,-123.942405701,45.9749603271,1,POINT (-123.9424033394562 45.97495989316482)
401,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,6b7e6377-9135-4db0-bffe-3698535d5b4f,5271,1,900,149780.0,0.0,0.614209,0.75,41007026318001001S,-123.942459106,45.9749641418,1,POINT (-123.9424578369159 45.97496379965943)
402,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,01d7119c-4d5b-46e6-a302-85f7fe94b529,5270,1,900,149780.0,0.0,0.614209,0.75,01d7119c-4d5b-46e6-a302-85f7fe94b529,,,1,POINT (-123.9425132785869 45.97496549926692)
403,,,,RC,,1962,6,,,,,,,,,,149780,,,,,Pre - Code,,,,RC,,,5a8badcf-39f5-45ea-b122-c43ee20e266a,5269,1,900,149780.0,0.0,0.614209,0.75,5a8badcf-39f5-45ea-b122-c43ee20e266a,,,1,POINT (-123.9425677906744 45.97496935032582)
404,,,,W2,,1993,2,,,,,,,,,,523787,,,,,Low - Code,,,,W2,,,9cecd9be-0369-4cc0-976d-0b9eba24bc30,5268,1,242,282221.0,241566.0,-3.146232,0.4,41007026315001001S,-123.939620972,45.9748954773,0,POINT (-123.939620531357 45.97489663396104)
405,,,,W1,,1955,1,,,,,,,,,,452195,,,,,Pre - Code,,,,W1,,,b4b51e41-cb93-46cd-ac12-278026aeccd1,5266,1,130,50968.0,401227.0,-0.773033,0.35,41007026314001001S,-123.940971375,45.9748497009,0,POINT (-123.9409739710944 45.97484891060296)
406,,,,W1,,1993,1,,,,,,,,,,495514,,,,,Moderate - Code,,,,W1,,,9e3de9b0-6e7c-42dc-8e14-928827bfcda2,5265,1,150,253948.0,241566.0,-3.146232,0.35,41007026313001001S,-123.939399719,45.9749565125,0,POINT (-123.9394012453759 45.97495469656604)
407,,,,W1,,1946,1,,,,,,,,,,725056,,,,,Pre - Code,,,,W1,,,ff0c8ca5-036b-4fa4-b397-792b55b27dea,5263,1,133,98365.0,626691.0,0.101035,0.35,41007026312001001S,-123.942100525,45.9749336243,0,POINT (-123.9421033067343 45.97493432507861)
408,,,,W1,,1934,1,,,,,,,,,,712656,,,,,Pre - Code,,,,W1,,,ce4b7e1d-6fe4-4d1b-8ce7-6bee53563ca8,5261,1,133,83764.0,628892.0,0.494816,0.35,41007026309001001S,-123.941825867,45.97498703,0,POINT (-123.9418256349907 45.9749853199671)
409,,,,W2,,1996,2,,,,,,,,,,859159,,,,,Moderate - Code,,,,W2,,,abd4c59a-4fc4-4355-aefd-b365c3ca85c2,5260,1,156,429249.0,429910.0,-8.378077,0.4,41007026308001001S,-123.953315735,45.9742851257,0,POINT (-123.9533131260273 45.97428524648848)
410,,,,RC,,2008,1,,,,,,,,,,819650,,,,,High - Code,,,,RC,,,6f49033c-6c31-4518-bab6-c4cc42de5416,5259,1,657,419650.0,400000.0,0.67472,0.4,41007026307001001S,-123.942977905,45.9748840332,0,POINT (-123.9429775583739 45.97488379101557)
411,,,,RC,,2008,1,,,,,,,,,,1037597,,,,,High - Code,,,,RC,,,19e92b5c-3e12-4f3a-9425-802a317af4b8,5258,1,657,411639.0,625958.0,0.849024,0.4,41007026306001001S,-123.943122864,45.9748878479,0,POINT (-123.9431248850902 45.97488833332314)
412,,,,W2,,2004,2,,,,,,,,,,874361,,,,,High - Code,,,,W2,,,531c581f-6008-4c47-8ebd-1594e2e19e62,5256,1,242,550456.0,323905.0,-1.506991,0.4,41007026304001001S,-123.940681458,45.9748954773,0,POINT (-123.9406803586571 45.97489371728976)
413,,,,W1,,1951,1,,,,,,,,,,701296,,,,,Pre - Code,,,,W1,,,1b56870b-4d00-485c-8c92-a8a598a96532,5255,1,140,74972.0,626324.0,0.435806,0.35,41007026303001001S,-123.941467285,45.9750785828,0,POINT (-123.9414708722453 45.97507705935514)
414,,,,W1,,1973,1,,,,,,,,,,396766,,,,,Pre - Code,,,,W1,,,3112a78d-1e59-48ed-86a0-d8d94dd687a4,5254,1,141,225590.0,171176.0,-13.840714,0.35,41007026302001001S,-123.914329529,45.9755706787,0,POINT (-123.9143273285794 45.97556931807355)
415,,,,W1,,1960,1,,,,,,,,,,855261,,,,,Pre - Code,,,,W1,,,18964a20-bb98-4fc3-9162-afed70e70368,5253,1,141,227469.0,627792.0,0.849024,0.35,41007026301001001S,-123.943336487,45.9748916626,0,POINT (-123.9433367352416 45.97489148922233)
416,,,,W2,,1940,2,,,,,,,,,,800875,,,,,Pre - Code,,,,W2,,,b8a2b2ca-5b92-42e8-8e94-b3f53ac804b9,5252,1,242,299571.0,501304.0,0.89609,0.4,41007026300001001S,-123.943611145,45.9748954773,0,POINT (-123.9436129931479 45.97489608427244)
417,,,,W1,,1940,1,,,,,,,,,,889937,,,,,Pre - Code,,,,W1,,,2982bae0-f572-459d-82c4-59bc7703078e,5247,1,145,256645.0,633292.0,0.831472,0.35,41007026296001001S,-123.944038391,45.9749031067,0,POINT (-123.944035243979 45.97490304091204)
418,,,,W2,,1988,2,,,,,,,,,,845864,,,,,Low - Code,,,,W2,,,430c3411-ad81-46b7-baf7-4d7a396d783f,5246,1,156,216972.0,628892.0,0.831472,0.4,41007026295001001S,-123.944282532,45.9749069214,0,POINT (-123.9442805494068 45.97490552572235)
419,,,,W2,,2010,2,,,,,,,,,,497174,,,,,High - Code,,,,W2,,,5c1a168e-5d86-4ea5-a841-5beb6ded83f8,5245,1,159,98542.0,398632.0,-2.586278,0.4,41007026294001001S,-123.940139771,45.9749145508,0,POINT (-123.9401415866463 45.97491622242914)
420,,,,W2,,1963,2,,,,,,,,,,1032113,,,,,Pre - Code,,,,W2,,,ab39ab5d-0f0b-4e4e-b378-00ed6ee416ab,5244,1,157,394419.0,637694.0,0.57634,0.4,41007026293001001S,-123.944580078,45.9749031067,0,POINT (-123.9445766278244 45.97490448456251)
421,,,,W2,,1975,2,,,,,,,,,,212883,,,,,Pre - Code,,,,W2,,,640bdbe3-e84c-4ce6-84cd-e28cd32d0cc8,5243,1,199,53621.0,159262.0,-13.10895,0.4,41007026292001001S,-123.915603638,45.9755134583,0,POINT (-123.9156030694849 45.97551481669768)
422,,,,W2,,2004,2,,,,,,,,,,696410,,,,,High - Code,,,,W2,,,c305f4ab-e68e-45d0-b472-9a77069221fa,5242,1,147,271804.0,424606.0,-10.424717,0.4,41007026291001001S,-123.952949524,45.9743499756,0,POINT (-123.9529510532597 45.97435103430592)
423,,,,W2,,1988,2,,,,,,,,,,772121,,,,,Low - Code,,,,W2,,,6825b13c-1867-4f3c-82b7-236d43b43612,5241,1,156,353749.0,418372.0,0.352537,0.4,41007026290001001S,-123.944869995,45.9749031067,0,POINT (-123.9448717700022 45.97490343363581)
424,,,,W2,,1975,2,,,,,,,,,,745956,,,,,Pre - Code,,,,W2,,,f7d88473-d81a-4e92-9886-8bc5509e175c,5240,1,156,318782.0,427174.0,0.192896,0.4,41007026289001001S,-123.945167542,45.9749031067,0,POINT (-123.9451678434464 45.97490237451425)
425,,,,W2,,1991,2,,,,,,,,,,817718,,,,,Low - Code,,,,W2,,,50f1c562-22c1-4cce-979a-b18649053658,5239,1,156,393845.0,423873.0,-0.307176,0.4,41007026288001001S,-123.945549011,45.974899292,0,POINT (-123.9455518697651 45.97490100281887)
426,,,,W1,,1960,1,,,,,,,,,,702390,,,,,Pre - Code,,,,W1,,,29fdf943-2640-4a9b-8cf4-028c7264ac0b,5238,1,141,275583.0,426807.0,-0.243377,0.35,41007026287001001S,-123.945892334,45.974899292,0,POINT (-123.9458915443324 45.97489992171015)
427,,,,W2,,1990,2,,,,,,,,,,843775,,,,,Low - Code,,,,W2,,,5523f72e-26c2-43a2-9b76-ea59fc2ee157,5237,1,156,419902.0,423873.0,0.011984,0.4,41007026285001001S,-123.946235657,45.9749031067,0,POINT (-123.9462354014128 45.97490238865807)
428,,,,W1,,1954,1,,,,,,,,,,602906,,,,,Pre - Code,,,,W1,,,b13e9f7a-3cff-4146-94a0-a73e17aa5dc1,5236,1,141,176099.0,426807.0,1.094249,0.35,41007026284001001S,-123.946578979,45.9749107361,0,POINT (-123.9465794008141 45.9749112646644)
429,,,,W1,,1954,1,,,,,,,,,,622163,,,,,Pre - Code,,,,W1,,,aa666c93-8dc3-4f0c-8812-cd400ec19a62,5235,1,141,195723.0,426440.0,1.11734,0.35,41007026283001001S,-123.946960449,45.9749183655,0,POINT (-123.9469580120579 45.9749165966515)
430,,,,W1,,1927,1,,,,,,,,,,283953,,,,,Pre - Code,,,,W1,,,c670de73-dc20-471b-b902-bf5d9a41761a,5233,1,131,102789.0,181164.0,-11.969945,0.35,41007026281001001S,-123.918113708,45.9756011963,0,POINT (-123.9181129916593 45.9756027479273)
431,,,,W2,,1989,2,,,,,,,,,,1344790,,,,,Low - Code,,,,W2,,,9b5bf4cc-2dc2-475b-8604-aa97c4d553a0,5232,1,177,921284.0,423506.0,1.391707,0.4,41007026280001001S,-123.947639465,45.9749298096,0,POINT (-123.9476361868328 45.97492886392209)
432,,,,W2,,1990,2,,,,,,,,,,1150281,,,,,Low - Code,,,,W2,,,95fa14f7-1226-4b53-a43e-cf9267350bb3,5229,1,167,726775.0,423506.0,1.50478,0.4,41007026277001001S,-123.948265076,45.9749259949,0,POINT (-123.9482683624743 45.97492646863283)
433,,,,W2,,1989,2,,,,,,,,,,775439,,,,,Low - Code,,,,W2,,,6ae3c5cf-1288-42b1-942e-fae407820aef,5228,1,157,351566.0,423873.0,1.607916,0.4,41007026276001001S,-123.94858551,45.974899292,0,POINT (-123.9485862176863 45.97489965779884)
434,,,,W1,,1950,1,,,,,,,,,,757024,,,,,Pre - Code,,,,W1,,,80faa0b6-de8a-4f29-833c-7139b79427b4,5227,1,140,311244.0,445780.0,1.690376,0.35,41007026275001001S,-123.948936462,45.9748687744,0,POINT (-123.9489345488083 45.97486857666533)
435,,,,W1,,1948,1,,,,,,,,,,620676,,,,,Pre - Code,,,,W1,,,6b445966-f260-4453-b233-4ecc078b95df,5224,1,143,120676.0,500000.0,-4.421269,0.35,41007026271001001S,-123.949752808,45.9748153687,0,POINT (-123.9497561909638 45.97481366905843)
436,,,,W2,,1950,2,,,,,,,,,,725509,,,,,Pre - Code,,,,W2,,,69b92bba-c13d-4912-8a50-3565497ff0e6,5223,1,146,256624.0,468885.0,-5.169498,0.4,41007026270001001S,-123.950256348,45.9747810364,0,POINT (-123.9502570964144 45.9747814004208)
437,,,,W1,,1937,1,,,,,,,,,,679786,,,,,Pre - Code,,,,W1,,,7b371699-4739-408a-ae85-098b97048cb6,5222,1,151,236474.0,443312.0,-5.255702,0.35,41007026269001001S,-123.950752258,45.9747161865,0,POINT (-123.9507558972635 45.9747168854341)
438,,,,W1,,1922,1,,,,,,,,,,520527,,,,,Pre - Code,,,,W1,,,877eeade-7619-44ad-a2c3-951ce60dc4eb,5221,1,140,92253.0,428274.0,-5.297706,0.35,41007026268001001S,-123.951057434,45.9746627808,0,POINT (-123.9510540475073 45.97466088002786)
439,,,,W1,,2010,1,,,,,,,,,,298636,,,,,High - Code,,,,W1,,,0b890deb-7b28-4a9f-8046-c6be8f93a9c6,5220,1,200,194416.0,104220.0,-0.554171,0.35,41007026267001001S,-123.939216614,45.9753875732,0,POINT (-123.9392166632137 45.97538851930545)
440,,,,W1,,1942,1,,,,,,,,,,605751,,,,,Pre - Code,,,,W1,,,ab7a1087-3a95-4934-9e35-39da68673ffb,5218,1,144,151437.0,454314.0,-8.451246,0.35,41007026266001001S,-123.95173645,45.9746246338,0,POINT (-123.9517393379499 45.97462314952602)
441,,,,W2,,2003,2,,,,,,,,,,1102706,,,,,Moderate - Code,,,,W2,,,6061b927-7bd6-4fa9-abe2-15332da74e57,5217,1,166,668564.0,434142.0,-12.578775,0.4,41007026265001001S,-123.951980591,45.974357605,0,POINT (-123.9519838607095 45.97435573441353)
442,,,,W1,,1990,1,,,,,,,,,,965554,,,,,Low - Code,,,,W1,,,b2686d06-5c2a-4317-a361-fd8b0491e58b,5216,1,155,492902.0,472652.0,-7.167126,0.35,41007026264001001S,-123.952362061,45.974445343,0,POINT (-123.9523586380426 45.97444650122961)
443,,,,W2,,1990,2,,,,,,,,,,795442,,,,,Low - Code,,,,W2,,,6c937eaa-9083-4cca-a917-15bcfb6f5f33,5214,1,147,229192.0,566250.0,-0.148608,0.4,41007026259001001S,-123.93863678,45.9755630493,0,POINT (-123.9386379673895 45.97556393773595)
444,,,,W1,,1998,1,,,,,,,,,,112222,,,,,Moderate - Code,,,,W1,,,bdd7a143-d62f-4cdf-a673-1e4f4da1efea,5210,1,200,43895.0,68327.0,-9.413986,0.35,41007026255001001S,-123.915870667,45.9762687683,0,POINT (-123.9158709931157 45.97626839747144)
445,,,,W2,,1994,2,,,,,,,,,,1015964,,,,,Low - Code,,,,W2,,,84b35f2a-a444-420e-9c95-84d910009be8,5207,1,166,449714.0,566250.0,0.085841,0.4,41007026253001001S,-123.938346863,45.9756507874,0,POINT (-123.93834915931 45.97565253038838)
446,,,,RC,,2002,1,,,,,,,,,,764250,,,,,Moderate - Code,,,,RC,,,b31c03a7-59c5-4afa-b846-5d7493f4706e,5205,1,656,198000.0,566250.0,0.085841,0.4,41007026251001001S,-123.938156128,45.975769043,0,POINT (-123.9381586804347 45.97576820408582)
447,,,,RC,,2002,1,,,,,,,,,,764250,,,,,Moderate - Code,,,,RC,,,18ccffbf-895f-4483-9b11-85fe7c6073ff,5204,1,656,198000.0,566250.0,-0.259301,0.4,41007026250001001S,-123.938034058,45.9758033752,0,POINT (-123.9380366670427 45.97580465143416)
448,,,,RC,,2004,1,,,,,,,,,,841569,,,,,High - Code,,,,RC,,,53e5246e-2a07-4253-9022-b960b0429d8b,5203,1,646,275319.0,566250.0,-0.259301,0.4,41007026249001001S,-123.937911987,45.9758338928,0,POINT (-123.9379133773675 45.97583474753867)
449,,,,RC,,2004,1,,,,,,,,,,841569,,,,,High - Code,,,,RC,,,c625035e-a622-4621-9df8-425fc4e6585f,5202,1,646,275319.0,566250.0,0.100644,0.4,41007026248001001S,-123.937797546,45.9758682251,0,POINT (-123.9377944420371 45.97586941752257)
450,,,,RC,,2004,1,,,,,,,,,,871744,,,,,High - Code,,,,RC,,,35cb8f72-e935-4d88-b78b-3c9c1da15c5f,5201,1,656,305494.0,566250.0,0.100644,0.4,41007026247001001S,-123.937675476,45.9759025574,0,POINT (-123.9376754506496 45.97590248756733)
451,,,,RC,,2004,1,,,,,,,,,,841569,,,,,High - Code,,,,RC,,,d68134e9-a3e6-47c6-83d2-5e1b40958639,5199,1,656,275319.0,566250.0,0.100644,0.4,41007026246001001S,-123.937553406,45.9759368896,0,POINT (-123.9375568047537 45.97593695628907)
452,,,,W1,,1990,1,,,,,,,,,,746909,,,,,Low - Code,,,,W1,,,1793ef63-1587-4e3d-93bd-db998ab2e70d,5197,1,141,180659.0,566250.0,-1.73835,0.35,41007026242001001S,-123.937400818,45.9759788513,0,POINT (-123.9374029113888 45.97597720536448)
453,,,,W2,,2002,2,,,,,,,,,,869086,,,,,Moderate - Code,,,,W2,,,7eddd24f-d817-4080-920f-acc4df767724,5196,1,156,302836.0,566250.0,-1.73835,0.4,41007026240001001S,-123.937217712,45.9760284424,0,POINT (-123.9372193319313 45.97602870557861)
454,,,,W1,,1955,1,,,,,,,,,,300656,,,,,Pre - Code,,,,W1,,,91aab626-a372-4c93-a548-6cf4d5565fcd,5194,1,140,102595.0,198061.0,-13.916254,0.35,41007026237001001S,-123.911605835,45.976764679,0,POINT (-123.9116057831037 45.97676278453824)
455,,,,W1,,1925,1,,,,,,,,,,429171,,,,,Pre - Code,,,,W1,,,ca3eacc5-eaac-4fb3-9821-6589ed03bdec,5192,1,143,249135.0,180036.0,-14.828793,0.35,41007026235001001S,-123.914367676,45.9764671326,0,POINT (-123.9143693841385 45.97646563399715)
456,,,,W1,,1949,1,,,,,,,,,,1244134,,,,,Pre - Code,,,,W1,,,3db90fbd-4c0f-40e2-b1be-b828865ddf26,5191,1,140,128759.0,1115375.0,-2.713129,0.35,41007026234001001S,-123.936950684,45.9761047363,0,POINT (-123.9369484058506 45.97610394971439)
457,,,,W1,,1937,1,,,,,,,,,,687047,,,,,Pre - Code,,,,W1,,,9ecc0365-d451-455a-9e52-100e2ce9adb0,5189,1,142,120797.0,566250.0,-3.905109,0.35,41007026230001001S,-123.936637878,45.9762153625,0,POINT (-123.936638370072 45.97621456959858)
458,,,,RC,,2001,1,,,,,,,,,,6939306,,,,,Moderate - Code,,,,RC,,,2b4dac54-e6f8-41b2-a410-071b4fbae5aa,5187,1,520,4613702.0,2325604.0,-2.135164,0.4,2b4dac54-e6f8-41b2-a410-071b4fbae5aa,,,0,POINT (-123.9297446838635 45.97584905369875)
459,,,,W1,,1958,1,,,,,,,,,,886706,,,,,Pre - Code,,,,W1,,,ff431438-d1f6-4a10-970b-a73dd4aeb7a7,5186,1,151,320456.0,566250.0,-4.195542,0.35,41007026227001001S,-123.936386108,45.9763183594,0,POINT (-123.9363840881412 45.97631959958169)
460,,,,W2,,1948,2,,,,,,,,,,721185,,,,,Pre - Code,,,,W2,,,a94d0470-59bd-4a7a-ab34-80d54b4e12cc,5185,1,146,169985.0,551200.0,-4.226118,0.4,41007026226001001S,-123.93611908,45.9764022827,0,POINT (-123.9361176316883 45.97640402415917)
461,,,,W2,,1939,2,,,,,,,,,,512454,,,,,Pre - Code,,,,W2,,,5674145d-ee3c-4efa-8648-7e4101426b75,5184,1,146,120914.0,391540.0,-4.166043,0.4,41007026225001001S,-123.935852051,45.9764862061,0,POINT (-123.9358503351734 45.97648674635334)
462,,,,W2,,1972,2,,,,,,,,,,533691,,,,,Pre - Code,,,,W2,,,9b356e76-11c3-4f5b-beae-c876a1e20199,5182,1,146,226911.0,306780.0,-4.037277,0.4,41007026223001001S,-123.935516357,45.9765701294,0,POINT (-123.935516986286 45.9765682346026)
463,,,,W2,,1942,3,,,,,,,,,,922023,,,,,Pre - Code,,,,W2,,,1574f03d-f2ad-4dff-ab21-2774c481b4da,5181,1,420,130544.0,791479.0,-2.732321,0.4,41007026222001001S,-123.927444458,45.9761619568,0,POINT (-123.9274432444708 45.97616019255792)
464,,,,W2,,1940,2,,,,,,,,,,492346,,,,,Pre - Code,,,,W2,,,689b6f37-ab70-4887-b552-ab0176edd814,5180,1,156,279754.0,212592.0,-4.09179,0.4,41007026220001001S,-123.935569763,45.9769134521,0,POINT (-123.9355707601347 45.97691505327231)
465,,,,RC,,1980,1,,,,,,,,,,711047,,,,,Low - Code,,,,RC,,,a698bf89-e06b-4d88-8116-81037737919b,5179,1,450,489242.0,221805.0,-1.251995,0.4,41007026218001001S,-123.928092957,45.9770889282,0,POINT (-123.9280910517205 45.97708822215802)
466,,,,W2,,1994,2,,,,,,,,,,500190,,,,,Low - Code,,,,W2,,,da6d79b6-3090-4e54-a9ed-7114d2e9bb42,5178,1,156,287598.0,212592.0,-4.179467,0.4,41007026217001001S,-123.935432434,45.9770698547,0,POINT (-123.9354359210401 45.97706856203416)
467,,,,W1,,1954,1,,,,,,,,,,326916,,,,,Pre - Code,,,,W1,,,e73f7e41-c378-4e69-b331-d28769dbcbbb,5177,1,140,114324.0,212592.0,-3.891549,0.35,41007026215001001S,-123.934928894,45.9770317078,0,POINT (-123.9349271356465 45.97703338539932)
468,,,,RC,,1999,4,,,,,,,,,,3430119,,,,,Moderate - Code,,,,RC,,,8e409a0d-c48f-4ce6-a832-c329bb11d276,5176,1,410,2792559.0,637560.0,-3.004448,0.4,41007026214001001S,-123.927078247,45.9770812988,0,POINT (-123.9270771341236 45.97708008499)
469,,,,W1,,1981,1,,,,,,,,,,471907,,,,,Low - Code,,,,W1,,,1cdb4b20-67bf-42c5-b086-ce6925bec23b,5175,1,151,259315.0,212592.0,-4.24828,0.35,41007026213001001S,-123.935348511,45.977191925,0,POINT (-123.9353456414841 45.97719037132182)
470,,,,W1,,1964,1,,,,,,,,,,327010,,,,,Pre - Code,,,,W1,,,c91a90a0-e3e7-4a07-bff6-3c5b2d01dd56,5174,1,132,114418.0,212592.0,-3.997159,0.35,41007026211001001S,-123.934692383,45.977230072,0,POINT (-123.9346943882802 45.97722838398408)
471,,,,W1,,1944,1,,,,,,,,,,217385,,,,,Pre - Code,,,,W1,,,a40f75b5-31d8-4e86-bffd-c7af03695890,5172,1,130,64471.0,152914.0,-4.019448,0.35,41007026209001001S,-123.934364319,45.9773712158,0,POINT (-123.934363284376 45.97737296008218)
472,,,,W2,,1987,2,,,,,,,,,,384767,,,,,Low - Code,,,,W2,,,1168eaf6-b060-4238-bd25-901f2aa7958c,5170,1,146,172175.0,212592.0,-3.997159,0.4,41007026207001001S,-123.934562683,45.9773368835,0,POINT (-123.9345651340404 45.97733669911465)
473,,,,W1,,1943,1,,,,,,,,,,559837,,,,,Pre - Code,,,,W1,,,60333ba4-89d4-4508-b7dd-8d984e2259e4,5169,1,140,151778.0,408059.0,-4.219874,0.35,41007026206001001S,-123.935211182,45.9773712158,0,POINT (-123.9352102224268 45.97737308740726)
474,,,,W1,,1943,1,,,,,,,,,,243046,,,,,Pre - Code,,,,W1,,,f3efec49-1f9d-4fb3-b5ea-df0afbe8b123,5168,1,132,90132.0,152914.0,-4.130261,0.35,41007026205001001S,-123.934204102,45.9774551392,0,POINT (-123.9342044505054 45.97745380922111)
475,,,,W1,,1948,1,,,,,,,,,,231369,,,,,Pre - Code,,,,W1,,,2dcf9847-56c5-41ac-880c-51fee4925c38,5166,1,130,78455.0,152914.0,-4.132513,0.35,41007026202001001S,-123.934043884,45.9775352478,0,POINT (-123.9340456165876 45.97753465912831)
476,,,,W1,,1938,1,,,,,,,,,,352210,,,,,Pre - Code,,,,W1,,,b4e080d3-cd79-47db-8a15-5c6b93a1ee32,5165,1,133,139618.0,212592.0,-4.219874,0.35,41007026201001001S,-123.935073853,45.9775543213,0,POINT (-123.9350748015273 45.97755580316108)
477,,,,W2,,2010,2,,,,,,,,,,813636,,,,,High - Code,,,,W2,,,3d01d362-0ea0-46b3-852d-b7764286ab30,5164,1,159,32148.0,781488.0,-3.845689,0.4,41007026200001001S,-123.935775757,45.9774971008,0,POINT (-123.9357725019004 45.9774985739048)
478,,,,W1,,1948,1,,,,,,,,,,237815,,,,,Pre - Code,,,,W1,,,5e5a30df-22ed-4a72-9c2f-79b13f09cdf6,5162,1,130,84901.0,152914.0,-4.132745,0.35,41007026197001001S,-123.933883667,45.9776153564,0,POINT (-123.9338867827337 45.97761550719276)
