parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period
,,,W1,,"1986","1",,,,,,,,,,"364037",,,,,Low - Code,,,,W1,,,f1d4feff-8c78-4f78-b2a3-1092748090d1,"5745","1","140",248070.000000000000000,115967.000000000000000,-2.126365000000000,0.350000000000000
,,,RC,,"0","1",,,,,,,,,,"654290",,,,,Pre - Code,,,,RC,,,ff321c63-684b-4752-b9d2-6febe12aeee8,"5743","1","550",358766.000000000000000,295524.000000000000000,-2.180728000000000,0.400000000000000
,,,RC,,"0","1",,,,,,,,,,"56678",,,,,Pre - Code,,,,RC,,,c75351fa-df5b-49f9-b7a6-b12ab3d65ed8,"5742","1","499",0.000000000000000,56678.000000000000000,-1.674715000000000,0.400000000000000
,,,W1,,"1994","1",,,,,,,,,,"8213",,,,,Moderate - Code,,,,W1,,,9e34826a-b8a3-494b-9e53-4ac2366e0c71,"5741","1","200",8213.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1950","1",,,,,,,,,,"105393",,,,,Pre - Code,,,,W1,,,afcdcdeb-5c8a-4e77-b049-c5a6c670b6c1,"5740","1","200",46091.000000000000000,59302.000000000000000,-1.959957000000000,0.350000000000000
,,,W1,,"2007","1",,,,,,,,,,"7260",,,,,High - Code,,,,W1,,,2262169f-8798-48d7-a8d7-9efaa5c855f8,"5739","1","200",7260.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1923","1",,,,,,,,,,"408819",,,,,Pre - Code,,,,W1,,,bc950354-d500-4419-a94c-076f8a40d7ab,"5737","1","141",226333.000000000000000,182486.000000000000000,-7.046123000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"35948",,,,,Low - Code,,,,W1,,,5b8fef41-677a-4834-9385-c4d6447209f8,"5736","1","192",0.000000000000000,0.000000000000000,-1.386297000000000,0.350000000000000
,,,W1,,"1893","1",,,,,,,,,,"91170",,,,,Pre - Code,,,,W1,,,9d6bfe3c-162e-4787-b44e-752047978163,"5735","1","134",91170.000000000000000,0.000000000000000,-1.927947000000000,0.350000000000000
,,,W1,,"1988","1",,,,,,,,,,"14086",,,,,Low - Code,,,,W1,,,4a6e0e6e-7216-4a33-b676-31df915546a0,"5734","1","193",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"34709",,,,,Low - Code,,,,W1,,,9f2348e7-c47b-4a38-a66e-e96c15713f62,"5733","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1926","1",,,,,,,,,,"47442",,,,,Pre - Code,,,,W1,,,c78d3787-58af-43d1-a3de-dfa49028ee37,"5731","1","120",17193.000000000000000,30249.000000000000000,-2.309846000000000,0.350000000000000
,,,W1,,"1991","1",,,,,,,,,,"20420",,,,,Low - Code,,,,W1,,,62d9e096-dea7-40ab-9c70-5102aea07414,"5730","1","193",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1968","1",,,,,,,,,,"7738",,,,,Pre - Code,,,,W1,,,620e9442-8f5c-4acb-931f-6c73cf2850e4,"5728","1","191",0.000000000000000,0.000000000000000,0.232739000000000,0.350000000000000
,,,W1,,"1962","1",,,,,,,,,,"2037",,,,,Pre - Code,,,,W1,,,bf596f12-6351-4ad8-b403-5b39e7d4acf6,"5727","1","191",0.000000000000000,0.000000000000000,-1.697089000000000,0.350000000000000
,,,W1,,"1974","1",,,,,,,,,,"8918",,,,,Low - Code,,,,W1,,,6a721f32-7e1f-4e3f-bc62-819f389967c4,"5726","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1998","1",,,,,,,,,,"49115",,,,,Moderate - Code,,,,W1,,,2fa5284b-6148-40bd-8982-bf7eb678a9b0,"5725","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"2006","1",,,,,,,,,,"25214",,,,,High - Code,,,,W1,,,526ade78-5a31-40c2-ab20-87d07edb7754,"5722","1","192",0.000000000000000,0.000000000000000,-9.224644000000000,0.350000000000000
,,,W1,,"1970","1",,,,,,,,,,"8612",,,,,Pre - Code,,,,W1,,,fb5bbb64-4b04-4716-bdb2-8e9d20df05a4,"5719","1","193",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"42280",,,,,Low - Code,,,,W1,,,2d86b2cb-03d0-4466-babc-75581324cd6c,"5716","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1994","1",,,,,,,,,,"44831",,,,,Moderate - Code,,,,W1,,,b0416b40-ee56-421d-87b3-5418870230ac,"5715","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,RC,,"1948","1",,,,,,,,,,"332936",,,,,Pre - Code,,,,RC,,,87a2ce2e-ba7e-469f-95a4-b63ca5676ead,"5714","1","496",244593.000000000000000,88343.000000000000000,-2.937128000000000,0.400000000000000
,,,W1,,"1973","1",,,,,,,,,,"1649",,,,,Pre - Code,,,,W1,,,b0857d4b-16cb-4e87-a40e-b7981e3b6734,"5713","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1989","1",,,,,,,,,,"12893",,,,,Low - Code,,,,W1,,,b91089f5-b4dc-4c65-8249-d8321e5756fa,"5712","1","193",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1970","1",,,,,,,,,,"1931",,,,,Pre - Code,,,,W1,,,8f2aa279-a3fe-4569-acc3-d942e42eb353,"5711","1","193",0.000000000000000,0.000000000000000,0.232739000000000,0.350000000000000
,,,W1,,"1972","1",,,,,,,,,,"6902",,,,,Pre - Code,,,,W1,,,f214251f-0268-4c0b-b1ff-849e69ebf3fa,"5710","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"2009","1",,,,,,,,,,"388",,,,,High - Code,,,,W1,,,38f5cc7d-f4e1-439a-99cb-f7d21193872c,"5709","1","200",388.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,RC,,"0","1",,,,,,,,,,"1320",,,,,Pre - Code,,,,RC,,,b6d5624b-b936-45da-ac36-74502ca94370,"5707","1","400",0.000000000000000,1320.000000000000000,-1.670295000000000,0.400000000000000
,,,W1,,"1973","1",,,,,,,,,,"10159",,,,,Pre - Code,,,,W1,,,6d2d8fe7-8c84-497f-b349-837a9594d94f,"5705","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1973","1",,,,,,,,,,"3926",,,,,Pre - Code,,,,W1,,,e9edf67a-2795-4954-b5da-1f21017ac747,"5704","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1994","1",,,,,,,,,,"39691",,,,,Moderate - Code,,,,W1,,,8a89e8b0-0833-4c74-b5e2-f804ff6374ba,"5703","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1973","1",,,,,,,,,,"6998",,,,,Pre - Code,,,,W1,,,c840abb8-34e2-433a-b5a9-ab6236d6ed6b,"5702","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1962","1",,,,,,,,,,"6533",,,,,Pre - Code,,,,W1,,,b0b17978-2ff6-48a1-9588-dab4af290db2,"5701","1","192",0.000000000000000,0.000000000000000,-1.120839000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"30559",,,,,Low - Code,,,,W1,,,116feed3-7928-4864-8d9f-a84f0ff849a2,"5700","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1996","1",,,,,,,,,,"36390",,,,,Moderate - Code,,,,W1,,,1fc64c40-c2cd-486f-bb22-3b2a0d093182,"5699","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1971","1",,,,,,,,,,"559",,,,,Pre - Code,,,,W1,,,e02f45c9-5ffb-48d1-98c4-891ea00d3df5,"5698","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1976","1",,,,,,,,,,"9991",,,,,Low - Code,,,,W1,,,5010a2d7-6fed-4893-b2c2-072675da54aa,"5697","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"30938",,,,,Low - Code,,,,W1,,,f34d3d50-7ec4-4311-9c63-daaf51889bf7,"5696","1","191",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1979","1",,,,,,,,,,"10474",,,,,Low - Code,,,,W1,,,a3fad8a7-faec-4c17-8d90-962ffd803026,"5695","1","193",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1967","1",,,,,,,,,,"4398",,,,,Pre - Code,,,,W1,,,2f64c256-5760-4ff6-8be4-8f5b72ca84e3,"5694","1","193",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1974","1",,,,,,,,,,"5607",,,,,Low - Code,,,,W1,,,4fa0a76a-7755-4a93-91e7-b2dde4055533,"5693","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1975","1",,,,,,,,,,"13415",,,,,Low - Code,,,,W1,,,37532fb5-5107-478b-ab2c-158eb001c68b,"5692","1","192",0.000000000000000,0.000000000000000,-9.132547000000001,0.350000000000000
,,,W1,,"1998","1",,,,,,,,,,"34349",,,,,Moderate - Code,,,,W1,,,0ed927c4-b960-4b09-9cac-435a407805a4,"5691","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1960","1",,,,,,,,,,"3858",,,,,Pre - Code,,,,W1,,,d25c7bba-5ce1-4837-b28e-f0b0d5c1cbbc,"5690","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1979","1",,,,,,,,,,"6027",,,,,Low - Code,,,,W1,,,a8ff7f86-8c45-4643-a745-dc1892fe01ca,"5689","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1995","1",,,,,,,,,,"32277",,,,,Moderate - Code,,,,W1,,,0b187888-88f9-40ee-8475-3cf9bac0232d,"5688","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1995","1",,,,,,,,,,"49202",,,,,Moderate - Code,,,,W1,,,0f644ce7-84a8-4846-a678-34edca42872b,"5687","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"46820",,,,,Low - Code,,,,W1,,,689226e6-13d3-4d4f-a8c1-4ff51896c850,"5686","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1997","1",,,,,,,,,,"74608",,,,,Moderate - Code,,,,W1,,,199ee2fc-b2e3-4b70-aff4-079884f6c874,"5685","1","191",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1993","1",,,,,,,,,,"18236",,,,,Moderate - Code,,,,W1,,,647b8845-9323-4f76-88d5-e83ca0a98dd2,"5684","1","193",0.000000000000000,0.000000000000000,-14.838559000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"44505",,,,,Low - Code,,,,W1,,,6764738c-813b-4fc9-a712-bc6f0a50c92a,"5683","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"54816",,,,,Low - Code,,,,W1,,,4e5750f1-f06e-4d35-9d13-722badb90b8c,"5682","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1972","1",,,,,,,,,,"12374",,,,,Pre - Code,,,,W1,,,efcdb2ba-67c8-4898-bb9e-52a1fe56b425,"5681","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1972","1",,,,,,,,,,"6166",,,,,Pre - Code,,,,W1,,,e3aa0f65-ec6e-43ba-bec1-3f6b415d7686,"5680","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
